IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
47984;Passerelle piétons;892000;1;211+511;e5d5bf0c-6667-11e3-a7ff-01f464e0362d;974989.2668000013;6594909.1556;6.58026936547695;46.398013204929306;46.3980132049,6.58026936548;46.3980132049,6.58026936548;"{""type"": ""Point"", ""coordinates"": [6.58026936547695, 46.39801320491371]}"
51671;Passerelle Boyer;655000;1;003+587;e7130c10-6667-11e3-a7ff-01f464e0362d;416009.3734000027;6419662.397700001;-0.593537224222429;44.817950715244756;44.8179507152,-0.593537224222;44.8179507152,-0.593537224222;"{""type"": ""Point"", ""coordinates"": [-0.59353722422243, 44.81795071522466]}"
44923;Viaduc de Vernaison;908000;1;016+147;e8684ae0-6667-11e3-a7ff-01f464e0362d;859593.7098999992;6438623.896600001;5.026567490821933;45.028423287795306;45.0284232878,5.02656749082;45.0284232878,5.02656749082;"{""type"": ""Point"", ""coordinates"": [5.026567490821934, 45.028423287775794]}"
59594;Passerelle piétons;070000;1;303+003;e9487b94-6667-11e3-a7ff-01f464e0362d;897135.8198999986;6849608.692400001;5.680045463512315;48.71650061561537;48.7165006156,5.68004546351;48.7165006156,5.68004546351;"{""type"": ""Point"", ""coordinates"": [5.680045463512317, 48.71650061559259]}"
60627;Passerelle câbles OA tiers;192000;1;155+663;e953b8ea-6667-11e3-a7ff-01f464e0362d;928880.3303000033;6893587.860100001;6.134915530629893;49.10121946176648;49.1012194618,6.13491553063;49.1012194617,6.13491553063;"{""type"": ""Point"", ""coordinates"": [6.134915530629893, 49.10121946174564]}"
60187;Passerelle piétons;140000;1;152+969;e734bf76-6667-11e3-a7ff-01f464e0362d;931331.1124000028;6893428.561700001;6.168359939494332;49.09890906006714;49.0989090601,6.16835993949;49.09890906,6.16835993949;"{""type"": ""Point"", ""coordinates"": [6.168359939494334, 49.09890906004629]}"
87547;Passerelle Eurostar;272000;1;000+090;e5779bb2-6667-11e3-a7ff-01f464e0362d;652812.6284999996;6864902.089400001;2.356564421201414;48.882406104051746;48.8824061041,2.3565644212;48.882406104,2.3565644212;"{""type"": ""Point"", ""coordinates"": [2.356564421201413, 48.882406104029805]}"
58826;Passerelle piétons;321000;1;003+418;e6fe52aa-6667-11e3-a7ff-01f464e0362d;647300.9310000017;6976887.805199999;2.2672422729838;49.88850918769344;49.8885091877,2.26724227298;49.8885091877,2.26724227298;"{""type"": ""Point"", ""coordinates"": [2.2672422729838, 49.888509187676384]}"
43422;;800000;1;586+123;e93985a0-6667-11e3-a7ff-01f464e0362d;841431.0675999969;6456520.396000002;4.801200826821184;45.19347969852478;45.1934796985,4.80120082682;45.1934796985,4.80120082682;"{""type"": ""Point"", ""coordinates"": [4.801200826821183, 45.19347969850571]}"
55508;Passerelle piétons;326000;1;037+093;e8fc06b8-6667-11e3-a7ff-01f464e0362d;628980.3994999975;6883807.958299998;2.028449370086415;49.05021329823434;49.0502132982,2.02844937009;49.0502132982,2.02844937009;"{""type"": ""Point"", ""coordinates"": [2.028449370086414, 49.05021329821325]}"
59510;Passerelle piétons dite des Sables n°1;067000;1;435+036;e5bb6186-6667-11e3-a7ff-01f464e0362d;992040.2484000027;6805455.0341;6.938542448045137;48.283864124720324;48.2838641247,6.93854244805;48.2838641247,6.93854244805;"{""type"": ""Point"", ""coordinates"": [6.938542448045138, 48.28386412469527]}"
