IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
29671;Ailleville;19;001000;1;219+409;e5d46dc0-6667-11e3-a7ff-01f464e0362d;825721.1675999984;6795149.4056;4.693677062933639;48.24455233115491;48.2445523312,4.69367706293;48.2445523311,4.69367706293;"{""type"": ""Point"", ""coordinates"": [4.693677062933639, 48.244552331129654]}"
64704;;Voir ligne 070000 PK 500.400;145000;1;001+600;e5946fd2-6667-11e3-a7ff-01f464e0362d;1049272.5411000028;6843569.600200001;7.739520376740706;48.59796268262585;48.5979626826,7.73952037674;48.5979626826,7.73952037674;"{""type"": ""Point"", ""coordinates"": [7.739520376740708, 48.59796268260245]}"
59176;;;035000;1;071+112;e9939e9c-6667-11e3-a7ff-01f464e0362d;920807.4708999991;6793966.740400001;5.973100847162721;48.20863575794389;48.2086357579,5.97310084716;48.2086357579,5.97310084716;"{""type"": ""Point"", ""coordinates"": [5.973100847162721, 48.20863575791845]}"
56230;du Bouvet;;990000;1;017+689;e5f417b6-6667-11e3-a7ff-01f464e0362d;631860.3024000004;6866168.583999999;2.070682655110986;48.891918638015454;48.891918638,2.07068265511;48.891918638,2.07068265511;"{""type"": ""Point"", ""coordinates"": [2.070682655110984, 48.89191863799356]}"
30582;Bréviandes;RN 71;832000;1;171+826;e6467b56-6667-11e3-a7ff-01f464e0362d;781452.0097000003;6795287.524500001;4.097420036943339;48.25283424385179;48.2528342439,4.09742003694;48.2528342438,4.09742003694;"{""type"": ""Point"", ""coordinates"": [4.097420036943339, 48.252834243826584]}"
46163;des Coudères;;722000;1;697+614;e6d40ba4-6667-11e3-a7ff-01f464e0362d;703273.980899997;6441295.2842999995;3.04160096692964;45.0709091136175;45.0709091136,3.04160096693;45.0709091136,3.04160096693;"{""type"": ""Point"", ""coordinates"": [3.04160096692964, 45.070909113598084]}"
37273;;Boulevard Québec d'Orléans;569301;1;121+722;e8696050-6667-11e3-a7ff-01f464e0362d;618296.4012999982;6757647.978999998;1.906214918240148;47.914131846642945;47.9141318466,1.90621491824;47.9141318466,1.90621491824;"{""type"": ""Point"", ""coordinates"": [1.906214918240146, 47.91413184661593]}"
37307;Du pont de la Tuilerie;Rue la Tuilerie Saran;570000;1;115+382;e6f5e6aa-6667-11e3-a7ff-01f464e0362d;617364.2493999973;6762359.745200001;1.892853245805731;47.95641421297169;47.956414213,1.89285324581;47.9564142129,1.89285324581;"{""type"": ""Point"", ""coordinates"": [1.89285324580573, 47.95641421294489]}"
53100;de Belair;CR  19;553000;1;083+577;e8f5aa58-6667-11e3-a7ff-01f464e0362d;588697.5496999994;6818978.592500001;1.494397316261769;48.46152562719051;48.4615256272,1.49439731626;48.4615256272,1.49439731626;"{""type"": ""Point"", ""coordinates"": [1.494397316261767, 48.4615256271664]}"
65185;;Déviation;042000;1;099+790;e66ac71a-6667-11e3-a7ff-01f464e0362d;950767.684799999;6757467.7656;6.355176803614958;47.8696482356521;47.8696482357,6.35517680361;47.8696482356,6.35517680361;"{""type"": ""Point"", ""coordinates"": [6.355176803614959, 47.86964823562484]}"
