GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;PK;LIBELLE;RG_TRONCON;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
1440F716666811E38CFF01F464E0362D;29225;538000;Ligne de St-Benoît à La Rochelle-Ville;003+301;Mezeau;1;1440f716-6668-11e3-8cff-01f464e0362d;493445.8382000029;6606545.1173;0.304759257782923;46.527189910912604;46.5271899109,0.304759257783;46.5271899109,0.304759257783;"{""type"": ""Point"", ""coordinates"": [0.304759257782921, 46.52718991089737]}"
14418CD2666811E38CFF01F464E0362D;29519;810000;Ligne de Tarascon à Sète-Ville;073+215;Castelnau;1;14418cd2-6668-11e3-8cff-01f464e0362d;773224.9830000028;6281536.287099998;3.907075976788072;43.6290886742037;43.6290886742,3.90707597679;43.6290886742,3.90707597679;"{""type"": ""Point"", ""coordinates"": [3.907075976788071, 43.6290886741805]}"
1441C1E0666811E38CFF01F464E0362D;29459;896000;Ligne de St-Gervais-les-Bains-Le Fayet à Vallorcine (frontière);011+535;Les Houches;1;1441c1e0-6668-11e3-8cff-01f464e0362d;994188.1071000025;6539693.024099998;6.795329391109935;45.893271221815944;45.8932712218,6.79532939111;45.8932712218,6.79532939111;"{""type"": ""Point"", ""coordinates"": [6.795329391109937, 45.89327122179889]}"
1443B4DE666811E38CFF01F464E0362D;29540;810000;Ligne de Tarascon à Sète-Ville;104+750;Sète;1;1443b4de-6668-11e3-8cff-01f464e0362d;756233.1768999994;6257275.783300001;3.693961038321161;43.41237453690746;43.4123745369,3.69396103832;43.4123745369,3.69396103832;"{""type"": ""Point"", ""coordinates"": [3.693961038321161, 43.412374536883746]}"
144418BC666811E38CFF01F464E0362D;29135;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;000+975;Quai-de-la-Gare;1;144418bc-6668-11e3-8cff-01f464e0362d;654029.7809000015;6859392.052499998;2.373756375150254;48.83294284429352;48.8329428443,2.37375637515;48.8329428443,2.37375637515;"{""type"": ""Point"", ""coordinates"": [2.373756375150253, 48.83294284427132]}"
1440FEDA666811E38CFF01F464E0362D;29151;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;081+394;Armonville;1;1440feda-6668-11e3-8cff-01f464e0362d;623584.7609999999;6795068.639800001;1.970471937088641;48.25147532758282;48.2514753276,1.97047193709;48.2514753276,1.97047193709;"{""type"": ""Point"", ""coordinates"": [1.970471937088639, 48.2514753275576]}"
1443E70C666811E38CFF01F464E0362D;29319;752308;Raccordement de Coubert (LGV);054+377;Coubert;1;1443e70c-6668-11e3-8cff-01f464e0362d;679771.1631999984;6843400.745099999;2.725179912833049;48.6904405610243;48.690440561,2.72517991283;48.690440561,2.72517991283;"{""type"": ""Point"", ""coordinates"": [2.725179912833047, 48.690440561001374]}"
1443EA46666811E38CFF01F464E0362D;29188;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;556+225;Vayres;3;1443ea46-6668-11e3-8cff-01f464e0362d;437586.9491999969;6428028.561099999;-0.325291664066534;44.90171064764907;44.9017106476,-0.325291664067;44.9017106476,-0.325291664067;"{""type"": ""Point"", ""coordinates"": [-0.325291664066535, 44.90171064762919]}"
1443EF58666811E38CFF01F464E0362D;128762;900000;Ligne de Culoz à Modane (frontière);226+806;La Bronsonnière;1;1443ef58-6668-11e3-8cff-01f464e0362d;978531.0256000012;6462589.655699998;6.548943392358116;45.206284674241736;45.2062846742,6.54894339236;45.2062846742,6.54894339236;"{""type"": ""Point"", ""coordinates"": [6.548943392358117, 45.20628467422272]}"
1443A1A0666811E38CFF01F464E0362D;85293;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;177+141;Moissac;1;1443a1a0-6668-11e3-8cff-01f464e0362d;545606.2006999999;6335446.719799999;1.071428441234411;44.101054178950235;44.101054179,1.07142844123;44.1010541789,1.07142844123;"{""type"": ""Point"", ""coordinates"": [1.07142844123441, 44.101054178928244]}"
1443A978666811E38CFF01F464E0362D;29191;584000;Ligne de Ravezies à Pointe-de-Grave;066+477;Lesparre;1;1443a978-6668-11e3-8cff-01f464e0362d;390821.0253000036;6474938.551899999;-0.946689871091849;45.304259724553205;45.3042597246,-0.946689871092;45.3042597245,-0.946689871092;"{""type"": ""Point"", ""coordinates"": [-0.946689871091851, 45.30425972453445]}"
1440AC0C666811E38CFF01F464E0362D;29281;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;165+760;Les Gribouzy;2;1440ac0c-6668-11e3-8cff-01f464e0362d;583585.674999997;6731776.8697;1.448441087300745;47.67608550029073;47.6760855003,1.4484410873;47.6760855003,1.4484410873;"{""type"": ""Point"", ""coordinates"": [1.448441087300743, 47.67608550026241]}"
1441FB68666811E38CFF01F464E0362D;29090;325000;Ligne d'Épinay-Villetaneuse au Tréport-Mers;071+450;Allonne;1;1441fb68-6668-11e3-8cff-01f464e0362d;636773.8421000019;6921042.724399999;2.129439218759806;49.38575144069793;49.3857514407,2.12943921876;49.3857514407,2.12943921876;"{""type"": ""Point"", ""coordinates"": [2.129439218759805, 49.3857514406785]}"
144318DC666811E38CFF01F464E0362D;85303;752000;Ligne de Combs-la-Ville à St-Louis (LGV);647+610;Les Iscles-Plan-d'Orgon;1;144318dc-6668-11e3-8cff-01f464e0362d;862589.750500001;6305407.860399999;5.021302487473845;43.82895275316297;43.8289527532,5.02130248747;43.8289527531,5.02130248747;"{""type"": ""Point"", ""coordinates"": [5.021302487473846, 43.828952753140285]}"
14413380666811E38CFF01F464E0362D;85282;669000;Ligne de Villefranche-Vernet-les-Bains à Latour-de-Carol;048+413;Ste-Léocadie;1;14413380-6668-11e3-8cff-01f464e0362d;618476.6526999995;6149535.523499999;2.010625258304349;42.44111953298685;42.441119533,2.0106252583;42.441119533,2.0106252583;"{""type"": ""Point"", ""coordinates"": [2.010625258304348, 42.44111953296099]}"
14437AE0666811E38CFF01F464E0362D;29320;830000;Ligne de Paris-Lyon à Marseille-St-Charles;001+130;Paris-Bercy (N1);1;14437ae0-6668-11e3-8cff-01f464e0362d;655081.8249000013;6859983.6457;2.388025132728298;48.838337284203185;48.8383372842,2.38802513273;48.8383372842,2.38802513273;"{""type"": ""Point"", ""coordinates"": [2.388025132728297, 48.83833728418102]}"
14437CF0666811E38CFF01F464E0362D;29056;070000;Ligne de Noisy-le-Sec à Strasbourg-Ville;189+864;Cheppes;1;14437cf0-6668-11e3-8cff-01f464e0362d;808579.0481000021;6859755.714499999;4.479102700409623;48.82870685329093;48.8287068533,4.47910270041;48.8287068533,4.47910270041;"{""type"": ""Point"", ""coordinates"": [4.479102700409624, 48.82870685326871]}"
1443026A666811E38CFF01F464E0362D;29308;750000;Ligne de Moret-Veneux-les-Sablons à Lyon-Perrache;104+202;Dordives;1;1443026a-6668-11e3-8cff-01f464e0362d;682395.4728000015;6780176.9749;2.763405989872048;48.12172535186352;48.1217253519,2.76340598987;48.1217253518,2.76340598987;"{""type"": ""Point"", ""coordinates"": [2.763405989872047, 48.12172535183761]}"
14430444666811E38CFF01F464E0362D;29220;660000;Ligne de Bayonne à St-Jean-Pied-de-Port;238+450;Ossès;1;14430444-6668-11e3-8cff-01f464e0362d;350265.69650000334;6246863.826499999;-1.304821746997814;43.23515228443353;43.2351522844,-1.304821747;43.2351522844,-1.304821747;"{""type"": ""Point"", ""coordinates"": [-1.304821746997815, 43.23515228440939]}"
14422E28666811E38CFF01F464E0362D;29081;272000;Ligne de Paris-Nord à Lille;089+088;Gannes;1;14422e28-6668-11e3-8cff-01f464e0362d;658010.5258999988;6942791.747299999;2.419632930668775;49.58296764559901;49.5829676456,2.41963293067;49.5829676456,2.41963293067;"{""type"": ""Point"", ""coordinates"": [2.419632930668774, 49.58296764558051]}"
1440FC84666811E38CFF01F464E0362D;29163;500000;Ligne de Chartres à Bordeaux-St-Jean;294+549;Chacé;1;1440fc84-6668-11e3-8cff-01f464e0362d;468416.1608000025;6683109.7421;-0.060237421030128;47.2078875244446;47.2078875244,-0.0602374210301;47.2078875244,-0.0602374210301;"{""type"": ""Point"", ""coordinates"": [-0.060237421030131, 47.20788752441368]}"
1441D7D0666811E38CFF01F464E0362D;29311;752000;Ligne de Combs-la-Ville à St-Louis (LGV);039+420;La Voulzie;1;1441d7d0-6668-11e3-8cff-01f464e0362d;695907.4570999965;6812838.890299998;2.944691121191727;48.41582433963364;48.4158243396,2.94469112119;48.4158243396,2.94469112119;"{""type"": ""Point"", ""coordinates"": [2.944691121191726, 48.41582433960928]}"
14439FA6666811E38CFF01F464E0362D;29208;655000;Ligne de Bordeaux-St-Jean à Irun;024+997;Croix-d'Hins;1;14439fa6-6668-11e3-8cff-01f464e0362d;397854.33380000293;6408444.796100002;-0.816064057957807;44.709402752729616;44.7094027527,-0.816064057958;44.7094027527,-0.816064057958;"{""type"": ""Point"", ""coordinates"": [-0.816064057957809, 44.709402752709224]}"
144445AE666811E38CFF01F464E0362D;29205;650000;Ligne de Toulouse à Bayonne;214+900;Pau;1;144445ae-6668-11e3-8cff-01f464e0362d;427238.3756000027;6249139.116700001;-0.359872308638896;43.28918787475476;43.2891878748,-0.359872308639;43.2891878747,-0.359872308639;"{""type"": ""Point"", ""coordinates"": [-0.359872308638897, 43.28918787473074]}"
1441D5F4666811E38CFF01F464E0362D;29495;830000;Ligne de Paris-Lyon à Marseille-St-Charles;768+625;Les Ségonnaux;1;1441d5f4-6668-11e3-8cff-01f464e0362d;832406.4658999965;6296182.1259;4.643799998636566;43.7522575982499;43.7522575982,4.64379999864;43.7522575982,4.64379999864;"{""type"": ""Point"", ""coordinates"": [4.643799998636564, 43.75225759822702]}"
1441F990666811E38CFF01F464E0362D;29206;650000;Ligne de Toulouse à Bayonne;269+640;Puyoô;1;1441f990-6668-11e3-8cff-01f464e0362d;384439.2885000035;6277161.114599999;-0.903322824689618;43.52331714994969;43.5233171499,-0.90332282469;43.5233171499,-0.90332282469;"{""type"": ""Point"", ""coordinates"": [-0.90332282468962, 43.52331714992623]}"
