IDRESEAU;LIBELLE;CODE_LIGNE;LONGUEUR;OBSTACLE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
51826;Les Redoutes;655000;416;Gabarit à 2 voies;1;227+462;bdcbd2a4-4be5-11e5-b1ff-01b064e0362d;316389.990199998;6263618.0502;-1.733187360285764;43.36819114581281;43.3681911458,-1.73318736029;43.3681911458,-1.73318736029;"{""type"": ""Point"", ""coordinates"": [-1.733187360285766, 43.36819114578897]}"
49853;Poitiers;570000;324;Gabarit à 2 voies;3;337+573;e5c57c40-6667-11e3-a7ff-01f464e0362d;495363.0546000004;6611700.289500002;0.327481219643705;46.57416908093339;46.5741690809,0.327481219644;46.5741690809,0.327481219644;"{""type"": ""Point"", ""coordinates"": [0.327481219643703, 46.574169080918296]}"
49118;Croix-Haute;905000;136;Gabarit à 1 voie;1;204+453;e878753c-6667-11e3-a7ff-01f464e0362d;912080.1746999994;6407193.7157999985;5.679069600479235;44.731488842564964;44.7314888426,5.67906960048;44.7314888425,5.67906960048;"{""type"": ""Point"", ""coordinates"": [5.679069600479234, 44.731488842544636]}"
45329;Puech;695000;163;Gabarit à 1 voie;1;498+182;e9184a8e-6667-11e3-a7ff-01f464e0362d;652629.2153000012;6454627.578899998;2.396798798472319;45.189332360078154;45.1893323601,2.39679879847;45.1893323601,2.39679879847;"{""type"": ""Point"", ""coordinates"": [2.396798798472318, 45.18933236005909]}"
63691;Canadeils;677000;94;;1;508+105;e6384930-6667-11e3-a7ff-01f464e0362d;713822.1525999978;6149639.9364;3.16775811720558;42.44651698503832;42.446516985,3.16775811721;42.446516985,3.16775811721;"{""type"": ""Point"", ""coordinates"": [3.16775811720558, 42.44651698501245]}"
45372;Prades;695000;148;Gabarit à 1 voie;1;518+040;e9382166-6667-11e3-a7ff-01f464e0362d;643571.6524000019;6444502.2414;2.282640443757296;45.09748424119845;45.0974842412,2.28264044376;45.0974842412,2.28264044376;"{""type"": ""Point"", ""coordinates"": [2.282640443757295, 45.09748424117913]}"
49101;St-Maurice;905000;291;Gabarit à 1 voie;1;198+596;e5d833ca-6667-11e3-a7ff-01f464e0362d;909816.7758999988;6410621.826900002;5.651953022670394;44.76302237573449;44.7630223757,5.65195302267;44.7630223757,5.65195302267;"{""type"": ""Point"", ""coordinates"": [5.651953022670394, 44.763022375714236]}"
31107;Biard;590000;426;Gabarit à 2 voies;2;478+030;e632343c-6667-11e3-a7ff-01f464e0362d;579897.7035000026;6468581.2716999985;1.467377475049063;45.3061091984519;45.3061091985,1.46737747505;45.3061091984,1.46737747505;"{""type"": ""Point"", ""coordinates"": [1.467377475049062, 45.30610919843314]}"
45733;Aulhac;719000;478;Gabarit à 1 voie;1;683+957;e6f2306a-6667-11e3-a7ff-01f464e0362d;632845.494599998;6430861.827300001;2.148161846200552;44.973714658322066;44.9737146583,2.1481618462;44.9737146583,2.1481618462;"{""type"": ""Point"", ""coordinates"": [2.148161846200551, 44.973714658302384]}"
32265;Puy-Richard;713000;871;Gabarit à 1 voie;1;474+449;e67203d2-6667-11e3-a7ff-01f464e0362d;628002.4659999982;6493169.3693;2.077501474837566;45.53422290131366;45.5342229013,2.07750147484;45.5342229013,2.07750147484;"{""type"": ""Point"", ""coordinates"": [2.077501474837564, 45.53422290129555]}"
